ano,mês,dia,hora,Rn,Gmedio,T_z1,UR_z1
2009,1,15,700,62.05,-2325,27.648000309486,83.008706584949
2009,1,15,730,115.7,2.8775,28.7227453739969,78.0572483405019
2009,1,15,800,233.7,8.13225,29.3463002935009,75.2783687135164
2009,1,15,830,205.45,12015,30.0864549133999,72.0952884135147
2009,1,15,900,336.8,14.7475,30.4717408799227,71.9437131611336
2009,1,15,930,368.45,17065,31.1307826647643,69.9328148128786
2009,1,15,1000,491.3,17.8275,31.6985725101663,68.1038067674808
2009,1,15,1030,602.2,22.8475,32.2917101165237,61.4446006795408
2009,1,15,1100,595.25,19195,32.7327611571484,59.0396066750951
2009,1,15,1130,666.7,18475,33.047073392996,56.0384166779506
2009,1,15,1200,726.1,16.3775,33.4627766726653,54.3458263596958
2009,1,15,1230,653.1,18.7725,33.6402109993534,53.2494320341396
2009,1,15,1300,618.95,21.7425,32.818943544397,58.8172963049362
2009,1,15,1330,566.5,17.6575,32.2410145946128,61.9852190796998
2009,1,15,1400,571.35,20.85,33.2143686153019,57.3571213736656
2009,1,15,1430,579,17.7625,34.1471662184623,54.7853945916008
2009,1,15,1500,360.35,13.8875,34.0457751746405,51.0515908746146
2009,1,15,1530,256.9,8.7285,33.6402109993534,57.7966896055706
2009,1,15,1600,263.15,8.45125,33.9088972654811,53.446479862235
2009,1,15,1630,198.65,6.33375,34.0863315921692,57.2207036465227
2009,1,15,1700,182,6.58575,33.7010456256465,56.725557822078
2009,1,15,1730,48.1,2.05525,31.9419110153385,69.0385208238305
2009,1,15,1800,36.57,-0.67375,31.2727301261148,71.8931880770066
2009,1,15,1830,-6339,-7516,29.8380468560365,65.2137719554158
2009,1,15,1900,-28.85,-20.9225,27.2272274776256,59.7873779201748
2009,1,16,530,-17.29,-12745,22.8876908020533,90.1832685309845
2009,1,16,600,-19515,-13.0575,22.9231776673909,88.6675160071742
2009,1,16,630,28.6,-11.37,23.496037064984,85.6360109595536
2009,1,16,700,84.55,-5.27175,23.9877836275196,86.4949373897128
2009,1,16,730,92.85,-3.73275,24.5606430251127,81.0887533881226
2009,1,16,800,147.85,-4.70775,24.9003030219157,77.7035727516129
2009,1,16,830,273.5,352,25.5593448067573,76.2383453119296
2009,1,16,900,297.15,5694,26.167691069688,78.410923929391
2009,1,16,930,344.25,9.7775,27.0903495684662,75.5309941341514
2009,1,16,1000,485.4,12.1375,28.0839817979197,72.4489640024037
2009,1,16,1030,478,12.0925,28.5909370170286,69.7256619679579
2009,1,16,1100,719.45,14565,29.4933173070425,66.3859539071625
2009,1,16,1130,726.1,17.03,29.8938119301385,65.1026167703364
2009,1,16,1200,490.65,12.06,30.0408289436801,66.4314264828768
2009,1,16,1230,541.35,10775,30.6643838631841,63.7839120746214
2009,1,16,1300,796.5,16.96,31.2473823651593,57.4379615082688
2009,1,16,1330,779,15.88,31.5566250488158,58.4181481403328
2009,1,16,1400,730.85,26.9,32.0939975810712,57.9331073327135
2009,1,16,1430,479.8,11725,31.9976760894405,57.2712287306497
2009,1,16,1500,380.6,11.78,32.1193453420267,58.0038424504913
2009,1,16,1530,295.25,10.4925,31.8202417627524,59.5448575163652
2009,1,16,1600,278.75,6.28425,31.4501644528029,62.9300381528749
2009,1,16,1630,183.2,5.38175,31.1409217691464,65.0975642619237
2009,1,16,1700,38345,-7.68025,28.3019725421365,70.2005977587518
2009,1,16,1730,5984,-13.2975,26.4769337533444,75.5309941341514
2009,1,16,1800,-15.78,-15.2375,25.6708749549612,79.1688001912962
2009,1,16,1830,-21.01,-15.2475,25.1994066011899,82.2003052389168
2009,1,16,1900,-28525,-14365,25.0980155573682,82.2508303230439
2009,1,16,2000,-39.93,-14.56,24.5910603382592,86.8486129786018
2009,1,16,2030,-17365,-13465,24.1753570585899,94.5789508500345
2009,1,16,2100,-20525,-12.4625,23.6937496004365,95.0842016913046
2009,1,16,2130,-17075,-13.0225,23.5112457215573,95.6399776167017
2009,1,16,2200,-25,-12695,23.4605501996464,94.7305261024155
2009,1,16,2230,-28365,-13.1225,23.3439504992513,93.8210745881293
